order_id,user_id,timestamp,product_id,quantity,price
fb994059-88d8-4c8c-9c27-0c5f192b696f,82dd4f50-dd7b-4715-a275-552ccdcb1386,2025-06-04T06:34:11.676547,3262,5,0.04
1e58b107-73c9-4c57-ba92-8dada6aeaf33,9160e0a3-034f-4736-bb52-964cca8ad6dd,2025-06-04T06:34:14.683679,5178,4,0.86
2f3ecba5-63bc-4a8c-9706-fae839ca04be,ea34154f-c58d-4b32-ae1a-b23998cde17e,2025-06-04T06:34:15.686526,7789,1,0.88
70019833-cd84-4080-b5fb-357501c7e9d3,5492db0c-a853-471b-9b5e-365b79731c4d,2025-06-04T06:34:16.689111,1909,4,0.11
681dc9ae-ff2a-4c1f-83f1-9920cc5227fc,317cf793-abc2-4f77-86af-d70175da3c2e,2025-06-04T06:34:17.691852,3756,5,0.81
29766df6-803f-4382-a685-6f1a11d9cbb5,5ada6858-9028-4bc4-bde9-906293cb0c7a,2025-06-04T06:34:18.694846,9827,2,0.99
1693eccb-9ebc-4c2c-a8e8-cfd02712136a,7f7cddb9-4a5d-42d5-9ed7-69cb0a41fc2c,2025-06-04T06:34:19.697479,6727,4,0.71
3553ad85-2210-4a89-8e75-cb17c8f024fe,cc07932b-e179-4177-b878-dffcb560d8f1,2025-06-04T06:34:20.700767,1163,2,0.05
7dbd1e34-25d9-4458-9628-d2dfff4598a1,f73bb4d5-27c8-47ba-a36d-84c08a71ac22,2025-06-04T06:34:21.704504,1670,2,0.57
953073f5-09b3-4e52-a0ac-51cc23d607a5,6a9f971e-d24a-4ed1-9d80-10cbe89f4314,2025-06-04T06:34:22.707437,1069,4,0.26
f94706c8-a840-4c1d-8fd4-ca0e0493a413,50516c63-1b4e-46cf-b91a-c4aa90dce23f,2025-06-04T06:34:23.711049,1075,4,0.11
4d6e3c6b-c1dc-49ad-9857-ffd1ffe6f3a3,fe866c1e-87f3-470e-aa92-4c1a1d321307,2025-06-04T06:34:24.713859,1480,5,0.93
155afe58-7523-4eb5-bf80-eeac4527babe,f3dcf717-03d1-4b4f-b182-a78d9e6e20f4,2025-06-04T06:34:25.717159,1556,4,0.49
5cd4b784-a169-45da-bd11-6a867ef63511,ac47e5c3-cd80-468f-ab55-93a05a43c343,2025-06-04T06:34:26.721618,8186,2,0.38
6b35df9f-bb87-4827-8099-a47db7590f9a,b43b04ed-fbbf-4567-8767-1fa07ba4ef27,2025-06-04T06:34:27.724357,2456,3,0.94
9c2f2d6a-ff51-419d-bc7c-36e7245609b8,dc837b1b-0032-48de-bd51-d0ddd4a0a9fa,2025-06-04T06:34:28.726998,6178,4,0.35
5f90fd29-4f74-4dac-8995-ca2883b025ca,f703bcf8-a293-46a8-929c-72d55d5d3814,2025-06-04T06:34:29.729905,5401,3,0.85
259ae58e-d047-4b60-9203-7034321702c8,746af4f6-8072-44d2-9309-a97e642fb0c2,2025-06-04T06:34:30.732695,5425,5,0.5
