user_id,timestamp,page_url,event_type,product_id,session_id,processed_timestamp,event_date,event_hour,event_year,event_month,event_day,data_source
537da053-b4d1-453f-a505-c22ed432a38f,2025-06-04T06:34:10.671Z,http://alvarez.net/,ADD_TO_CART,5587,208fa344-2a0f-4aba-b89c-129ad9d8ae07,2025-06-15T07:15:35.357Z,2025-06-04,6,2025,6,4,batch_csv
d2e07203-3360-43a1-9a3a-def946a2e041,2025-06-04T06:34:14.683Z,https://www.hill.info/,ADD_TO_CART,4588,eb6f3ecf-b8e5-43de-932c-db86b3d045f5,2025-06-15T07:15:35.357Z,2025-06-04,6,2025,6,4,batch_csv
2a6982a0-4099-42ee-a9e0-1da22c316e42,2025-06-04T06:34:15.686Z,https://www.key-ramirez.com/,ADD_TO_CART,9384,e3cb8d00-5cae-4a73-84c8-480133d2ca02,2025-06-15T07:15:35.357Z,2025-06-04,6,2025,6,4,batch_csv
69edd888-3f3b-4507-857c-db831121859e,2025-06-04T06:34:16.688Z,http://www.garcia.org/,SCROLL,7237,24c1bf85-b6c7-4e98-8a46-0acacdd22277,2025-06-15T07:15:35.357Z,2025-06-04,6,2025,6,4,batch_csv
cb06bd36-109e-4277-b090-7f6469e24139,2025-06-04T06:34:17.691Z,https://www.carter.com/,PAGE_VIEW,2737,a4057b30-a732-4924-af60-8b82a5333ad1,2025-06-15T07:15:35.357Z,2025-06-04,6,2025,6,4,batch_csv
9a3a5d3c-fd91-47ec-ad75-ea7bfc0e7a94,2025-06-04T06:34:18.694Z,http://www.mckee-blackwell.net/,PAGE_VIEW,8053,91dd6631-587b-4889-8f3d-d89dc2c0fbf1,2025-06-15T07:15:35.357Z,2025-06-04,6,2025,6,4,batch_csv
01f8c837-ca24-4ec6-8aed-6377e36237d9,2025-06-04T06:34:19.696Z,https://smith.com/,PURCHASE,4183,33fdf526-725d-4e85-9c73-bf08a5b21f71,2025-06-15T07:15:35.357Z,2025-06-04,6,2025,6,4,batch_csv
0877028e-60b5-45cb-9574-469599f9b9cc,2025-06-04T06:34:20.700Z,https://bruce-powell.com/,PAGE_VIEW,5277,9053e821-65aa-43e4-9fb0-3e5ce11f93fb,2025-06-15T07:15:35.357Z,2025-06-04,6,2025,6,4,batch_csv
f85f6a07-a1bc-41e8-b1f7-a2d5661ab861,2025-06-04T06:34:21.703Z,http://www.alvarado.com/,PURCHASE,2739,02d453fc-9f82-4e54-be2f-6cf965c3c669,2025-06-15T07:15:35.357Z,2025-06-04,6,2025,6,4,batch_csv
90e25668-495a-4982-9f5e-d07a63ec25bd,2025-06-04T06:34:22.706Z,http://www.bell.com/,PURCHASE,9526,e5d3b110-4df5-48dc-b38f-0fe3c94d0506,2025-06-15T07:15:35.357Z,2025-06-04,6,2025,6,4,batch_csv
