order_id,customer_id,product_id,purchase_timestamp,purchase_date,purchase_year,purchase_month,purchase_day,quantity,unit_price,total_amount,name,email,country,customer_segment,loaded_at
5cd4b784-a169-45da-bd11-6a867ef63511,ac47e5c3-cd80-468f-ab55-93a05a43c343,8186,2025-06-04 06:34:26.721,2025-06-04,2025,6,4,2,0.38,0.76,,,,,2025-06-18 13:10:06.283+00
99d81d83-58e2-47da-b76b-1003885944a1,b8b34f9e-43bb-479d-bdef-7ed4fd399625,4102,2025-06-04 06:34:37.752,2025-06-04,2025,6,4,3,0.45,1.35,,,,,2025-06-18 13:10:06.283+00
0d69d79d-e572-476c-a267-efa3e6fa4ec7,affd09e4-a125-4f4b-91c6-6dc66845f86c,8254,2025-06-04 06:34:40.761,2025-06-04,2025,6,4,2,0.58,1.16,,,,,2025-06-18 13:10:06.283+00
3ad41aac-ac5a-48cc-81e1-588c6300e36e,a805419e-64c3-424f-a128-f57ccf409850,5225,2025-06-04 06:34:46.779,2025-06-04,2025,6,4,2,0.93,1.86,,,,,2025-06-18 13:10:06.283+00
830ed3f9-464a-4643-a133-60aea479cc18,7a30ad63-41d9-4bcf-a2ca-c7f32ca29610,6857,2025-06-04 06:35:13.858,2025-06-04,2025,6,4,4,0.69,2.76,,,,,2025-06-18 13:10:06.283+00
bb61f748-692a-454c-a525-553bc217fb06,7c120421-0348-4113-8513-cc329df07c30,8577,2025-06-04 06:35:18.874,2025-06-04,2025,6,4,4,0.72,2.88,,,,,2025-06-18 13:10:06.283+00
621d0fba-218f-42d9-8309-be8ae6d26442,4434268d-5166-4f44-93f4-f708c617efec,6693,2025-06-04 07:00:53.76,2025-06-04,2025,6,4,5,0.05,0.25,,,,,2025-06-18 13:10:06.283+00
f6a6168e-d954-4e23-9a7e-e6bed4a556f4,b4f905ab-51ca-4a49-a137-b09c928034c4,3990,2025-06-04 07:01:04.498,2025-06-04,2025,6,4,4,0.25,1.0,,,,,2025-06-18 13:10:06.283+00
406c9708-5149-42be-bfa3-ae113d6427ba,3b067381-9929-4240-8c9a-da5de24fbbf4,2715,2025-06-04 07:01:20.806,2025-06-04,2025,6,4,3,0.93,2.79,,,,,2025-06-18 13:10:06.283+00
2f9ef4c9-8371-4ff8-a480-d7f7abe7497f,e35a165d-3aa3-4d9f-8446-3f67fa0166dc,3861,2025-06-04 07:01:49.519,2025-06-04,2025,6,4,5,0.17,0.85,,,,,2025-06-18 13:10:06.283+00
